						categories

INSERT INTO `categories` (`id`, `title`, `description`, `slug`, `image`, `created_at`, `updated_at`) VALUES
(1, 'Electronics', 'Perfect gift for friends and family', 1, 'img-1.png', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(2, 'Women', 'Made from eco-friendly and sustainable materials', 1, 'img-2.png', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(3, 'Men', 'Available in a variety of colors and sizes', 1, 'img-3.png', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(4, 'Home', 'Affordable and stylish option for everyday use', 1, 'img-5.png', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(5, 'Beauty', 'Easy to clean and maintain', 1, 'img-11.png', '0000-00-00 00:00:00', '0000-00-00 00:00:00');




						sub_categories

INSERT INTO `sub_categories` (`id`, `category_id`, `title`, `description`, `created_at`, `updated_at`) VALUES
(1, 1, 'Phone', 'Affordable and stylish option for everyday use', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(2, 3, 'Men Shoes', 'Comfortable fit with adjustable straps', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(3, 4, 'Kitchen', 'Comfortable fit with adjustable straps', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(4, 2, 'Women Shoes', 'Available in a variety of colors and sizes', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(5, 2, 'Women Pants', 'Designed for maximum performance and efficiency', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(6, 1, 'Radio', 'High-quality product with durable materials', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(7, 4, 'Bed', 'Easy to clean and maintain', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(8, 4, 'Chair', 'Comfortable fit with adjustable straps', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(9, 3, 'Men T-Shirts', 'Available in a variety of colors and sizes', '0000-00-00 00:00:00', '0000-00-00 00:00:00'),
(10, 3, 'Men Pants', 'High-quality product with durable materials', '0000-00-00 00:00:00', '0000-00-00 00:00:00');




						Products

insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (1, 9, 'Fitness Tracker', 'Just In', 'Versatile and multi-functional design', 'HP', 'Sony', 147.13, 15.58, '294590367681', 'no', 4, 0, '21-07-2022', '03-06-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (2, 2, 'Bluetooth Speaker', 'Just In', 'Fashion-forward and trendy accessory', 'Apple', 'Coca-Cola', 213.08, 31.1, '069053471757', 'yes', 4, 1, '18-11-2023', '23-07-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (3, 7, 'TV', 'Fresh Release', 'Premium craftsmanship and attention to detail', 'Sony', 'Adidas', 438.13, 30.78, '748890660934', 'no', 1, 0, '30-12-2023', '04-04-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (4, 3, 'Camera', 'New Arrival', 'Premium craftsmanship and attention to detail', 'LG', 'Apple', 217.16, 84.66, '720731977115', 'no', 9, 0, '03-12-2023', '29-07-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (5, 2, 'Smartphone', 'Latest Addition', 'Easy to use and user-friendly interface', 'Samsung', 'Coca-Cola', 319.29, 65.19, '925394073123', 'yes', 6, 1, '29-01-2023', '19-01-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (6, 3, 'Laptop', 'Just In', 'Elegant and sophisticated choice for special occasions', 'Lenovo', 'Toyota', 569.58, 53.36, '596080362194', 'yes', 1, 0, '28-03-2022', '13-07-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (7, 7, 'Smartphone', 'New Arrival', 'Elegant and sophisticated choice for special occasions', 'Microsoft', 'Microsoft', 412.15, 30.97, '755123915137', 'no', 9, 1, '06-05-2022', '17-10-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (8, 2, 'Headphones', 'Brand New', 'Elegant and sophisticated choice for special occasions', 'Dell', 'Toyota', 906.62, 84.61, '112500837911', 'yes', 4, 1, '04-09-2023', '20-06-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (9, 2, 'Headphones', 'Fresh Release', 'Elegant and sophisticated choice for special occasions', 'Nike', 'Apple', 96.22, 67.61, '539808411464', 'no', 9, 1, '23-06-2022', '26-10-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (10, 1, 'Fitness Tracker', 'New Arrival', 'Fashion-forward and trendy accessory', 'Samsung', 'Pepsi', 649.35, 53.71, '897229123376', 'yes', 6, 0, '31-10-2022', '25-04-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (11, 2, 'Gaming Console', 'Fresh Release', 'Versatile and multi-functional design', 'Apple', 'Adidas', 816.8, 31.57, '595351907700', 'yes', 6, 0, '03-11-2022', '23-12-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (12, 3, 'TV', 'Just In', 'Comfortable and ergonomic design for maximum comfort', 'Dell', 'Microsoft', 906.88, 10.4, '935390726041', 'no', 5, 0, '24-07-2022', '07-08-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (13, 2, 'Headphones', 'Latest Addition', 'Sustainable and eco-friendly materials', 'Samsung', 'Nike', 642.95, 66.81, '086236724526', 'no', 1, 0, '16-07-2023', '11-01-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (14, 4, 'Fitness Tracker', 'New Arrival', 'Elegant and sophisticated choice for special occasions', 'Microsoft', 'Coca-Cola', 912.68, 13.54, '359975635932', 'no', 4, 1, '25-05-2022', '19-04-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (15, 9, 'Gaming Console', 'New Arrival', 'High-quality product with durable materials', 'HP', 'Coca-Cola', 359.77, 11.62, '021779177099', 'no', 1, 0, '25-09-2023', '16-01-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (16, 10, 'Headphones', 'New Arrival', 'Elegant and sophisticated choice for special occasions', 'Samsung', 'Honda', 867.88, 35.3, '791439074022', 'no', 8, 0, '07-12-2023', '28-09-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (17, 5, 'Smartwatch', 'Fresh Release', 'Premium craftsmanship and attention to detail', 'Dell', 'Nike', 735.55, 84.51, '787634747058', 'no', 5, 1, '12-06-2023', '16-04-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (18, 9, 'Gaming Console', 'Fresh Release', 'Premium craftsmanship and attention to detail', 'Adidas', 'Toyota', 939.41, 22.8, '857044346073', 'no', 8, 1, '08-04-2022', '16-01-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (19, 4, 'TV', 'Latest Addition', 'Affordable and stylish option for everyday use', 'Samsung', 'Coca-Cola', 81.94, 39.18, '073004541576', 'no', 6, 0, '29-06-2022', '09-03-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (20, 3, 'Smartwatch', 'Just In', 'Premium craftsmanship and attention to detail', 'HP', 'Nike', 478.18, 85.21, '012807831303', 'no', 4, 0, '21-04-2022', '31-05-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (21, 2, 'Fitness Tracker', 'Just In', 'High-quality product with durable materials', 'Lenovo', 'Toyota', 847.47, 81.41, '739760247544', 'no', 1, 0, '26-08-2023', '26-10-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (22, 8, 'Camera', 'Brand New', 'Easy to use and user-friendly interface', 'Nike', 'Honda', 299.57, 56.71, '574923961807', 'no', 10, 1, '25-02-2022', '26-11-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (23, 1, 'Headphones', 'Fresh Release', 'Fashion-forward and trendy accessory', 'Sony', 'Toyota', 819.27, 32.01, '726324539172', 'yes', 4, 1, '01-02-2023', '05-06-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (24, 2, 'Headphones', 'Just In', 'Comfortable and ergonomic design for maximum comfort', 'Dell', 'Pepsi', 859.19, 26.64, '760958359895', 'no', 8, 1, '26-10-2023', '29-04-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (25, 1, 'Smartphone', 'Just In', 'Easy to use and user-friendly interface', 'Dell', 'Toyota', 612.78, 76.46, '603901524417', 'no', 5, 0, '05-07-2023', '15-07-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (26, 6, 'Bluetooth Speaker', 'Fresh Release', 'Innovative technology for enhanced performance', 'Lenovo', 'Pepsi', 35.41, 82.1, '866594728464', 'no', 4, 1, '13-10-2023', '05-10-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (27, 6, 'Smartphone', 'Brand New', 'High-quality product with durable materials', 'Lenovo', 'Adidas', 683.11, 88.82, '735180462564', 'no', 5, 1, '02-09-2022', '10-01-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (28, 6, 'Bluetooth Speaker', 'Fresh Release', 'Comfortable and ergonomic design for maximum comfort', 'Dell', 'Adidas', 363.18, 60.86, '128383629906', 'yes', 7, 1, '07-10-2023', '18-11-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (29, 9, 'Gaming Console', 'Fresh Release', 'Sustainable and eco-friendly materials', 'Samsung', 'Apple', 53.58, 31.03, '871490904476', 'no', 9, 1, '13-12-2022', '05-12-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (30, 5, 'Bluetooth Speaker', 'New Arrival', 'Innovative technology for enhanced performance', 'Lenovo', 'Nike', 739.54, 72.57, '315560874878', 'no', 8, 1, '13-08-2023', '30-05-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (31, 5, 'Smartphone', 'New Arrival', 'Fashion-forward and trendy accessory', 'Nike', 'Samsung', 371.99, 81.89, '142372742653', 'yes', 1, 1, '26-09-2023', '15-07-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (32, 1, 'Headphones', 'Just In', 'Affordable and stylish option for everyday use', 'Sony', 'Pepsi', 638.77, 54.78, '175355311285', 'no', 7, 1, '07-07-2022', '19-08-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (33, 4, 'Tablet', 'Just In', 'Affordable and stylish option for everyday use', 'Nike', 'Pepsi', 658.25, 72.15, '604325246680', 'no', 7, 0, '03-12-2023', '10-12-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (34, 6, 'Camera', 'Brand New', 'Innovative technology for enhanced performance', 'LG', 'Sony', 669.93, 15.5, '346554010150', 'no', 5, 1, '23-03-2023', '10-02-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (35, 2, 'Tablet', 'Fresh Release', 'Premium craftsmanship and attention to detail', 'LG', 'Honda', 891.88, 15.24, '723009781817', 'yes', 4, 0, '14-08-2022', '05-12-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (36, 7, 'TV', 'New Arrival', 'Easy to use and user-friendly interface', 'HP', 'Adidas', 726.26, 14.51, '022166492272', 'yes', 4, 1, '06-10-2022', '07-06-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (37, 8, 'Bluetooth Speaker', 'Fresh Release', 'Versatile and multi-functional design', 'Nike', 'Adidas', 401.09, 11.5, '417668795390', 'yes', 3, 0, '10-03-2022', '17-09-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (38, 5, 'Headphones', 'Brand New', 'Elegant and sophisticated choice for special occasions', 'Adidas', 'Nike', 913.43, 78.31, '990873671745', 'yes', 10, 1, '30-12-2023', '16-01-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (39, 3, 'Laptop', 'New Arrival', 'Elegant and sophisticated choice for special occasions', 'HP', 'Honda', 902.54, 72.56, '216439443573', 'yes', 3, 0, '25-12-2022', '15-10-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (40, 6, 'Gaming Console', 'Just In', 'Elegant and sophisticated choice for special occasions', 'Samsung', 'Sony', 274.42, 64.65, '232892438325', 'no', 7, 1, '07-11-2022', '10-02-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (41, 4, 'Bluetooth Speaker', 'New Arrival', 'Elegant and sophisticated choice for special occasions', 'LG', 'Coca-Cola', 147.92, 15.36, '756278720933', 'yes', 8, 0, '17-06-2023', '01-05-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (42, 2, 'Smartwatch', 'Just In', 'Comfortable and ergonomic design for maximum comfort', 'Nike', 'Toyota', 195.04, 57.61, '821384944798', 'yes', 8, 1, '30-05-2023', '06-09-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (43, 8, 'Smartwatch', 'New Arrival', 'Versatile and multi-functional design', 'Dell', 'Pepsi', 891.71, 81.27, '198601787345', 'yes', 3, 0, '22-09-2022', '13-05-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (44, 3, 'Tablet', 'Brand New', 'Comfortable and ergonomic design for maximum comfort', 'Adidas', 'Nike', 929.97, 21.94, '043461818405', 'no', 1, 1, '13-04-2023', '11-01-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (45, 6, 'Smartwatch', 'Latest Addition', 'Fashion-forward and trendy accessory', 'LG', 'Microsoft', 569.6, 66.2, '232194813830', 'yes', 3, 1, '06-07-2022', '03-08-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (46, 3, 'Gaming Console', 'Fresh Release', 'Comfortable and ergonomic design for maximum comfort', 'LG', 'Apple', 702.19, 39.97, '187998303454', 'no', 10, 1, '04-12-2023', '03-03-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (47, 3, 'Bluetooth Speaker', 'Fresh Release', 'High-quality product with durable materials', 'LG', 'Toyota', 415.85, 49.2, '703585140603', 'yes', 8, 0, '27-06-2022', '30-07-2023');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (48, 3, 'Fitness Tracker', 'Fresh Release', 'Easy to use and user-friendly interface', 'Adidas', 'Honda', 754.52, 39.83, '649374652609', 'yes', 2, 0, '05-01-2022', '19-02-2022');
insert into products (id, sub_category_id, title, slog, description, manufacturer_name, manufacturer_brand, unit_price, discount, barcode, track_qty, qty, status, created_at, updated_at) values (49, 10, 'Fitness Tracker', 'Brand New', 'Innovative technology for enhanced performance', 'Nike', 'Microsoft', 158.83, 32.81, '570278970443', 'yes', 4, 1, '26-05-2023', '06-07-2022');
